t h j cs
0.000000000000000000e+00 0.000000000000000000e+00 7.723154708628648946e-01 1.995486647013889892e-01
1.919191919191919267e+06 5.460796527154219548e-05 7.762191933731856786e-01 1.998959234101643778e-01
3.838383838383838534e+06 1.094933522962104910e-04 7.801825856263601144e-01 2.002486345483498464e-01
5.757575757575757802e+06 1.646604207848488717e-04 7.842071811173770834e-01 2.006069413122781864e-01
7.676767676767677069e+06 2.201135442669602477e-04 7.882945693125812392e-01 2.009709922217938205e-01
9.595959595959596336e+06 2.758572113613156685e-04 7.924463980839169253e-01 2.013409413576803253e-01
1.151515151515151560e+07 3.318965373160641819e-04 7.966644148802428660e-01 2.017169520546461259e-01
1.343434343434343487e+07 3.882505110225724343e-04 8.009514845573545427e-01 2.020992877245310071e-01
1.535353535353535414e+07 4.449272373448766261e-04 8.053097352989075919e-01 2.024881466284292886e-01
1.727272727272727340e+07 5.019276048041183477e-04 8.097408040497369175e-01 2.028836836597891491e-01
1.919191919191919267e+07 5.592529686773723557e-04 8.142464156111900442e-01 2.032860619840977101e-01
2.111111111111111194e+07 6.169051509976471691e-04 8.188283867080651257e-01 2.036954534344870282e-01
2.303030303030303121e+07 6.748864405538845812e-04 8.234886302950539250e-01 2.041120389268678004e-01
2.494949494949495047e+07 7.331995928909597685e-04 8.282291601078470844e-01 2.045360089063611442e-01
2.686868686868686974e+07 7.918478303096812901e-04 8.330520954912375986e-01 2.049675638117112175e-01
2.878787878787878901e+07 8.508348418667911967e-04 8.379596665031184832e-01 2.054069145783019579e-01
3.070707070707070827e+07 9.101647833749647049e-04 8.429542193348734669e-01 2.058542831618598301e-01
3.262626262626262754e+07 9.698422774028108480e-04 8.480382220471623933e-01 2.063099031065166455e-01
3.454545454545454681e+07 1.029872413274871825e-03 8.532142706730280191e-01 2.067740201324881344e-01
3.646464646464646608e+07 1.090260747071623111e-03 8.584850956781682196e-01 2.072468927794217652e-01
3.838383838383838534e+07 1.151013301629473778e-03 8.638535688423262249e-01 2.077287930739853961e-01
4.030303030303030461e+07 1.212136566540766500e-03 8.693227105592324921e-01 2.082200072551024794e-01
4.222222222222222388e+07 1.273637498153776682e-03 8.748956976170393363e-01 2.087208365329403792e-01
4.414141414141414315e+07 1.335523519572713765e-03 8.805758714632347939e-01 2.092315979141879945e-01
4.606060606060606241e+07 1.397802520657720569e-03 8.863667470295448769e-01 2.097526250639615286e-01
4.797979797979798168e+07 1.460482858024872866e-03 8.922720221190184597e-01 2.102842692449428119e-01
4.989898989898990095e+07 1.523573355046180244e-03 8.982955874363086624e-01 2.108269003068279357e-01
5.181818181818182021e+07 1.587083301849585674e-03 9.044415372884672122e-01 2.113809077519844815e-01
5.373737373737373948e+07 1.651022455318965076e-03 9.107141810210577226e-01 2.119467018741371112e-01
5.565656565656565875e+07 1.715401039094128621e-03 9.171180552473637837e-01 2.125247149784605938e-01
5.757575757575757802e+07 1.780229743570818993e-03 9.236579369367251546e-01 2.131154026898239850e-01
5.949494949494949728e+07 1.845519725900713129e-03 9.303388574328250726e-01 2.137192453579269680e-01
6.141414141414141655e+07 1.911282609991420047e-03 9.371661174870007383e-01 2.143367495627376274e-01
6.333333333333333582e+07 1.977530486506484317e-03 9.441453033798278272e-01 2.149684497411251671e-01
6.525252525252525508e+07 2.044275912865381288e-03 9.512823042464398915e-01 2.156149099281415848e-01
6.717171717171716690e+07 2.111531913243521862e-03 9.585833306931172970e-01 2.162767256392820192e-01
6.909090909090909362e+07 2.179311978572249456e-03 9.660549348312198470e-01 2.169545258977367830e-01
7.101010101010102034e+07 2.247630066538841304e-03 9.737040318534959660e-01 2.176489754230245266e-01
7.292929292929293215e+07 2.316500601586507155e-03 9.815379232945059540e-01 2.183607769960754785e-01
7.484848484848484397e+07 2.385938474914390574e-03 9.895643221335977957e-01 2.190906740161839839e-01
7.676767676767677069e+07 2.455959044477569377e-03 9.977913799082904767e-01 2.198394532730079121e-01
7.868686868686869740e+07 2.526578134987053897e-03 1.006227716039588715e+00 2.206079479471110272e-01
8.060606060606060922e+07 2.597812037909787847e-03 1.014882449573432321e+00 2.213970408696597225e-01
8.252525252525252104e+07 2.669677511468648758e-03 1.023765233581301670e+00 2.222076680626452472e-01
8.444444444444444776e+07 2.742191780642447545e-03 1.032886292481127732e+00 2.230408225909438213e-01
8.636363636363637447e+07 2.815372537165928505e-03 1.042256462576737430e+00 2.238975587557529012e-01
8.828282828282828629e+07 2.889237939529768016e-03 1.051887236138785653e+00 2.247789966700970421e-01
9.020202020202019811e+07 2.963806612980577574e-03 1.061790809400526392e+00 2.256863272527351860e-01
9.212121212121212482e+07 3.039097649520903794e-03 1.071980134876505453e+00 2.266208176888878656e-01
9.404040404040405154e+07 3.115130607909221468e-03 1.082468978466902820e+00 2.275838174084521270e-01
9.595959595959596336e+07 3.191925513659943110e-03 1.093271981865834741e+00 2.285767646399732289e-01
9.787878787878787518e+07 3.269502859043412878e-03 1.104404730856982431e+00 2.296011936060683434e-01
9.979797979797980189e+07 3.347883603085908752e-03 1.115883830154052792e+00 2.306587424346713266e-01
1.017171717171717286e+08 3.427089171569643392e-03 1.127726985528446191e+00 2.317511618704412024e-01
1.036363636363636404e+08 3.507141457032759372e-03 1.139953094063817396e+00 2.328803248821893490e-01
1.055555555555555522e+08 3.588062818769336554e-03 1.152582343489078731e+00 2.340482372754731921e-01
1.074747474747474790e+08 3.669876082829387313e-03 1.165636321670598718e+00 2.352570494346443164e-01
1.093939393939394057e+08 3.752604542018854808e-03 1.179138137490241434e+00 2.365090693383551379e-01
1.113131313131313175e+08 3.836272744246799551e-03 1.193112687738023148e+00 2.378067893873854199e-01
1.132323232323232293e+08 3.920983367333014981e-03 1.207600126830267406e+00 2.391541424457733767e-01
1.151515151515151560e+08 4.006795110042665579e-03 1.222636041573477383e+00 2.405546662179360862e-01
1.170707070707070827e+08 4.093713777040480263e-03 1.238249179477988182e+00 2.420112899060192779e-01
1.189898989898989946e+08 4.181753776474393322e-03 1.254471955050439513e+00 2.435273135729901783e-01
1.209090909090909064e+08 4.270938119975547023e-03 1.271340851811866735e+00 2.451064506780139540e-01
1.228282828282828331e+08 4.361298422658291610e-03 1.288896879765991210e+00 2.467528767199770323e-01
