t h j deltafi cs
0.000000000000000000e+00 1.000000000000000072e-18 9.208802348822763051e+00 -9.079119765117724117e-02 1.578945295977487728e-01
7.575757575757575978e+04 2.565439926354973787e-05 9.220826570865920502e+00 -9.075551795249518772e-02 1.582112938553093817e-01
1.515151515151515196e+05 5.134235210981585000e-05 9.232906634793719647e+00 -9.071968945086222869e-02 1.585298466120964589e-01
2.272727272727272939e+05 7.706401472653479003e-05 9.245042982948163512e+00 -9.068371100419329867e-02 1.588502042211088483e-01
3.030303030303030391e+05 1.028195442966665550e-04 9.257236062507761432e+00 -9.064758145815286772e-02 1.591723832381784220e-01
3.787878787878787844e+05 1.286090992931267685e-04 9.269486325690872164e+00 -9.061129964558342631e-02 1.594964004287396653e-01
4.545454545454545878e+05 1.544328395162362065e-04 9.281794229840100385e+00 -9.057486438628793712e-02 1.598222727714957714e-01
5.303030303030302748e+05 1.802909260937209123e-04 9.294160237490167731e+00 -9.053827448686178891e-02 1.601500174616812544e-01
6.060606060606060782e+05 2.061835214807122645e-04 9.306584816436890506e+00 -9.050152874052191931e-02 1.604796519143846523e-01
6.818181818181818817e+05 2.321107894597467598e-04 9.319068439807271176e+00 -9.046462592693342575e-02 1.608111937679320980e-01
7.575757575757575687e+05 2.580728951407662846e-04 9.331611586130737379e+00 -9.042756481203308161e-02 1.611446608873343678e-01
8.333333333333333721e+05 2.840700049611178161e-04 9.344214739411524917e+00 -9.039034414785024341e-02 1.614800713677968236e-01
9.090909090909091756e+05 3.101022866855538025e-04 9.356878389202277546e+00 -9.035296267232470480e-02 1.618174435382948584e-01
9.848484848484848626e+05 3.361699094062316749e-04 9.369603030678815614e+00 -9.031541910912162241e-02 1.621567959652175372e-01
1.060606060606060550e+06 3.622730435427142263e-04 9.382389164716162355e+00 -9.027771216744345795e-02 1.624981474560770744e-01
1.136363636363636469e+06 3.884118695328569776e-04 9.395237302245112332e+00 -9.023984052922789934e-02 1.628415171777170545e-01
1.212121212121212156e+06 4.145866674830088515e-04 9.408148008702688969e+00 -9.020180271828581731e-02 1.631869258485157681e-01
1.287878787878787844e+06 4.407976285009128142e-04 9.421121811415643421e+00 -9.016359737335533087e-02 1.635343932653451349e-01
1.363636363636363763e+06 4.670449099058542313e-04 9.434159226378463714e+00 -9.012522316902940589e-02 1.638839390174625654e-01
1.439393939393939450e+06 4.933286715232576992e-04 9.447260776153132866e+00 -9.008667876302353661e-02 1.642355829665591294e-01
1.515151515151515137e+06 5.196490756846873157e-04 9.460426989961392863e+00 -9.004796279594702579e-02 1.645893452511908994e-01
1.590909090909091057e+06 5.460062872278467891e-04 9.473658403778591364e+00 -9.000907389107021261e-02 1.649452462912989748e-01
1.666666666666666744e+06 5.724004734965792204e-04 9.486955560429128909e+00 -8.997001065408781473e-02 1.653033067928159072e-01
1.742424242424242431e+06 5.988318043408672126e-04 9.500319009683590110e+00 -8.993077167287814866e-02 1.656635477523659139e-01
1.818181818181818351e+06 6.253004521168327619e-04 9.513749308357510870e+00 -8.989135551725828399e-02 1.660259904620542681e-01
1.893939393939394038e+06 6.518065916867373660e-04 9.527247020411914846e+00 -8.985176073873485381e-02 1.663906565143541683e-01
1.969696969696969725e+06 6.783504004189820245e-04 9.540812717055548120e+00 -8.981198587025074342e-02 1.667575678070902234e-01
